"package","declared","declared_recursive","without_base","without_base_recursive","without_installed","without_installed_recursive","reverse","reverse_recursive","badge_url"
"A3",2,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"aaSEA",9,121,9,112,9,101,0,0,"https://img.shields.io/badge/dependencies-9/101-orange?style=flat"
"ABACUS",2,65,2,57,2,52,0,0,"https://img.shields.io/badge/dependencies-2/52-green?style=flat"
"abbyyR",6,36,6,32,6,32,0,0,"https://img.shields.io/badge/dependencies-6/32-orange?style=flat"
"abc",5,15,5,9,3,5,4,5,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"abc.data",0,0,0,0,0,0,1,6,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ABC.RAP",3,3,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abcADM",2,4,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"ABCanalysis",1,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"abcdeFBA",4,49,4,42,3,40,0,0,"https://img.shields.io/badge/dependencies-3/40-green?style=flat"
"ABCoptim",4,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"ABCp2",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abcrf",10,42,9,34,8,30,0,0,"https://img.shields.io/badge/dependencies-8/30-orange?style=flat"
"abcrlda",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abctools",5,91,4,82,4,72,0,0,"https://img.shields.io/badge/dependencies-4/72-green?style=flat"
"abd",4,99,3,91,1,86,1,1,"https://img.shields.io/badge/dependencies-1/86-green?style=flat"
"abdiv",1,12,1,4,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"abe",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"abf2",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"ABHgenotypeR",3,58,2,50,2,45,0,0,"https://img.shields.io/badge/dependencies-2/45-green?style=flat"
