sourceIp,targetIp
10.10.144.105,10.10.144.106
10.10.144.106,10.10.144.110
10.10.144.110,10.10.187.116
10.10.144.113,10.10.144.114
10.10.144.114,10.10.144.118
10.10.144.118,10.220.59.163
10.10.144.118,10.220.59.168
10.10.144.122,10.10.144.126
10.10.144.126,10.10.185.4
10.10.144.137,10.10.144.138
10.10.144.138,10.10.144.142
10.10.144.14,10.10.185.36
10.10.144.142,10.10.176.52
10.10.144.145,10.10.144.146
10.10.144.146,10.10.144.150
10.10.144.150,10.220.24.163
10.10.144.150,10.220.24.176
10.10.144.150,10.220.24.182
10.10.144.150,10.220.24.184
10.10.144.150,10.220.24.185
10.10.144.153,10.10.144.154
10.10.144.154,10.10.144.158
10.10.144.158,10.10.190.20
10.10.144.161,10.10.144.162
10.10.144.162,10.10.144.166
10.10.144.166,10.10.184.84
10.10.144.169,10.10.144.170
10.10.144.170,10.10.144.174
10.10.144.174,10.220.25.101
10.10.144.174,10.220.25.102
10.10.144.177,10.10.144.178
10.10.144.178,10.10.144.182
10.10.144.182,10.220.70.38
10.10.144.182,10.220.70.39
10.10.144.182,10.220.70.44
10.10.144.182,10.220.70.51
10.10.144.205,10.10.144.206
10.10.144.206,10.10.144.210
10.10.144.210,10.220.52.197
10.10.144.210,10.220.52.214
10.10.144.210,10.220.52.220
10.10.144.210,10.220.52.222
10.10.144.213,10.10.144.214
10.10.144.214,10.10.144.218
10.10.144.218,10.220.53.133
10.10.144.218,10.220.53.148
10.10.144.221,10.10.144.222
10.10.144.222,10.10.144.226
10.10.144.226,10.220.58.36
10.10.144.226,10.220.58.46
10.10.144.226,10.220.58.49
10.10.144.25,10.10.144.30
10.10.144.253,10.10.144.94
10.10.144.26,10.10.144.25
10.10.144.30,10.220.51.14
10.10.144.30,10.220.51.16
10.10.144.33,10.10.144.34
10.10.144.34,10.10.144.38
10.10.144.38,10.10.185.84
10.10.144.49,10.10.144.50
10.10.144.50,10.10.144.53
10.10.144.53,10.10.186.244
10.10.144.57,10.10.144.58
10.10.144.58,10.10.144.62
10.10.144.62,10.116.103.11
10.10.144.62,10.116.103.15
10.10.144.65,10.10.144.66
10.10.144.66,10.10.144.69
10.10.144.69,10.116.104.100
10.10.144.69,10.116.104.11
10.10.144.69,10.116.104.15
10.10.144.69,10.116.104.90
10.10.144.94,10.140.0.26
10.10.145.102,10.116.74.11
10.10.145.102,10.116.74.15
10.10.145.105,10.10.145.106
10.10.145.106,10.10.145.110
10.10.145.110,10.10.184.132
10.10.145.114,10.10.145.118
10.10.145.118,10.10.184.52
10.10.145.121,10.10.145.122
10.10.145.122,10.10.145.126
10.10.145.126,10.220.59.227
10.10.145.126,10.220.59.232
10.10.145.126,10.220.59.236
10.10.145.126,10.220.59.241
10.10.145.126,10.220.59.244
10.10.145.145,10.10.145.146
10.10.145.146,10.10.145.150
10.10.145.150,10.10.185.20
10.10.145.174,10.10.185.148
10.10.145.197,10.220.240.134
10.10.145.197,10.220.240.137
10.10.145.197,10.220.240.138
10.10.145.201,10.10.145.202
10.10.145.202,10.10.145.206
10.10.145.206,10.10.188.52
10.10.145.209,10.10.145.210
10.10.145.210,10.10.145.214
10.10.145.214,10.220.20.228
10.10.145.214,10.220.20.229
10.10.145.214,10.220.20.232
10.10.145.214,10.220.20.233
10.10.145.214,10.220.20.238
10.10.145.233,10.10.145.234
10.10.145.234,10.10.145.238
10.10.145.238,10.220.29.227
10.10.145.238,10.220.29.230
10.10.145.238,10.220.29.253
10.10.145.249,10.10.145.250
10.10.145.25,10.10.145.26
10.10.145.250,10.10.145.254
10.10.145.254,10.220.28.38
10.10.145.254,10.220.28.39
10.10.145.26,10.10.145.30
10.10.145.30,10.10.188.20
10.10.145.41,10.10.145.42
10.10.145.42,10.10.145.46
10.10.145.46,10.220.29.101
10.10.145.46,10.220.29.102
10.10.145.49,10.10.145.50
10.10.145.50,10.10.145.54
10.10.145.54,10.220.21.227
10.10.145.65,10.10.145.66
10.10.145.66,10.10.145.70
10.10.145.70,10.220.26.100
10.10.145.70,10.220.26.101
10.10.145.70,10.220.26.122
10.10.145.73,10.10.145.74
10.10.145.74,10.10.145.78
10.10.145.78,10.220.28.164
10.10.145.78,10.220.28.165
10.10.145.81,10.10.145.82
10.10.145.82,10.10.145.85
10.10.145.85,10.10.186.52
10.10.145.89,10.10.145.90
10.10.145.9,10.220.20.35
10.10.145.9,10.220.20.40
10.10.145.9,10.220.20.44
10.10.145.90,10.10.145.94
10.10.145.94,10.116.71.11
10.10.145.94,10.116.71.15
10.10.145.97,10.10.145.98
10.10.145.98,10.10.145.102
10.10.146.1,10.10.146.2
10.10.146.10,10.10.146.14
10.10.146.102,10.10.184.244
10.10.146.105,10.10.146.106
10.10.146.106,10.10.146.110
10.10.146.110,10.116.25.166
10.10.146.110,10.116.25.167
10.10.146.110,10.116.25.170
10.10.146.121,10.10.146.122
10.10.146.122,10.10.146.126
10.10.146.126,10.10.184.196
10.10.146.129,10.10.146.130
10.10.146.130,10.10.146.134
10.10.146.134,10.220.63.3
10.10.146.14,10.116.26.234
10.10.146.14,10.222.19.10
10.10.146.14,10.222.19.3
10.10.146.153,10.10.146.154
10.10.146.154,10.10.146.158
10.10.146.158,10.220.57.69
10.10.146.161,10.10.146.162
10.10.146.162,10.10.146.166
10.10.146.166,10.220.57.195
10.10.146.169,10.10.146.170
10.10.146.17,10.10.146.18
10.10.146.170,10.10.146.174
10.10.146.174,10.220.90.11
10.10.146.18,10.10.146.22
10.10.146.193,10.10.146.194
10.10.146.194,10.10.146.198
10.10.146.198,10.10.188.36
10.10.146.2,10.10.146.6
10.10.146.201,10.10.146.202
10.10.146.202,10.10.146.206
10.10.146.206,10.220.54.131
10.10.146.206,10.220.54.133
10.10.146.206,10.220.57.187
10.10.146.209,10.10.146.210
10.10.146.210,10.10.146.214
10.10.146.214,10.10.185.212
10.10.146.22,10.10.186.180
10.10.146.225,10.10.146.226
10.10.146.226,10.10.146.230
10.10.146.230,10.220.29.35
10.10.146.230,10.220.29.37
10.10.146.230,10.220.29.47
10.10.146.33,10.220.23.164
10.10.146.38,10.10.186.36
10.10.146.41,10.10.146.42
10.10.146.42,10.10.146.46
10.10.146.46,10.220.129.114
10.10.146.49,10.10.146.50
10.10.146.50,10.10.146.54
10.10.146.54,10.220.129.134
10.10.146.6,10.220.29.139
10.10.146.6,10.220.29.163
10.10.146.6,10.220.29.189
10.10.146.6,10.222.156.11
10.10.146.65,10.10.146.66
10.10.146.66,10.10.146.70
10.10.146.70,10.220.62.51
10.10.146.81,10.10.146.82
10.10.146.82,10.10.146.86
10.10.146.86,10.10.185.180
10.10.146.89,10.10.146.90
10.10.146.9,10.10.146.10
10.10.146.90,10.10.146.94
10.10.146.94,10.10.185.52
10.10.146.97,10.10.146.98
10.10.146.98,10.10.146.102
10.10.147.1,10.10.147.2
10.10.147.102,10.10.184.4
10.10.147.105,10.10.147.106
10.10.147.106,10.10.147.110
10.10.147.110,10.220.27.37
10.10.147.110,10.220.27.38
10.10.147.110,10.222.19.195
10.10.147.110,10.222.19.206
10.10.147.110,10.222.19.220
10.10.147.113,10.10.147.114
10.10.147.114,10.10.147.118
10.10.147.118,10.220.63.115
10.10.147.121,10.10.147.122
10.10.147.122,10.10.147.126
10.10.147.126,10.10.190.52
10.10.147.129,10.10.147.130
10.10.147.130,10.10.147.134
10.10.147.134,10.220.63.131
10.10.147.137,10.10.147.138
10.10.147.138,10.10.147.142
10.10.147.142,10.220.62.19
10.10.147.153,10.10.147.154
10.10.147.154,10.10.147.158
10.10.147.158,10.220.62.35
10.10.147.161,10.10.147.162
10.10.147.162,10.10.147.166
10.10.147.166,10.220.57.99
10.10.147.169,10.10.147.170
10.10.147.17,10.10.147.18
10.10.147.170,10.10.147.174
10.10.147.174,10.220.57.107
10.10.147.18,10.10.147.22
10.10.147.185,10.10.147.186
10.10.147.186,10.10.147.190
10.10.147.190,10.220.63.179
10.10.147.194,10.10.147.198
10.10.147.198,10.116.180.132
10.10.147.198,10.116.180.158
10.10.147.198,10.116.180.159
10.10.147.198,10.222.235.122
10.10.147.198,10.222.235.222
10.10.147.198,10.222.235.24
10.10.147.198,10.222.235.25
10.10.147.198,10.222.235.26
10.10.147.198,10.222.235.27
10.10.147.198,10.222.235.28
10.10.147.2,10.10.147.6
10.10.147.201,10.10.147.202
10.10.147.202,10.10.147.206
10.10.147.206,10.220.62.67
10.10.147.209,10.10.147.210
10.10.147.210,10.10.147.214
10.10.147.214,10.220.27.164
10.10.147.214,10.220.27.165
10.10.147.214,10.220.27.173
10.10.147.217,10.10.147.218
10.10.147.218,10.10.147.222
10.10.147.22,10.220.57.220
10.10.147.222,10.220.63.195
10.10.147.226,10.116.254.10
10.10.147.226,10.116.254.114
10.10.147.226,10.116.254.130
10.10.147.226,10.116.254.138
10.10.147.226,10.116.254.18
10.10.147.226,10.116.254.2
10.10.147.226,10.116.254.26
10.10.147.226,10.220.204.10
10.10.147.226,10.220.204.114
10.10.147.226,10.220.204.138
10.10.147.226,10.220.204.146
10.10.147.226,10.220.204.154
10.10.147.226,10.220.204.18
10.10.147.226,10.220.204.2
10.10.147.226,10.220.204.202
10.10.147.226,10.220.204.210
10.10.147.226,10.220.204.218
10.10.147.226,10.220.204.226
10.10.147.226,10.220.204.234
10.10.147.226,10.220.204.242
10.10.147.226,10.220.204.243
10.10.147.226,10.220.204.250
10.10.147.226,10.220.204.26
10.10.147.226,10.220.204.34
10.10.147.226,10.220.204.42
10.10.147.226,10.220.204.46
10.10.147.226,10.220.204.50
10.10.147.226,10.220.204.58
10.10.147.226,10.220.204.66
10.10.147.226,10.220.204.67
