level,ipaddress,mass,communityid
0,10.30.66.1,9,10
1,10.30.251.10,5,10
2,10.30.199.2,2,10
3,10.30.223.22,24,7
4,10.30.66.21,2,10
5,10.30.66.35,2,10
6,10.30.66.22,3,10
7,10.201.201.15,24,0
8,10.201.203.1,1,10
9,10.201.203.2,1,10
10,10.30.99.77,1,10
10,147.225.209.126,1,10
10,152.161.129.25,2,10
10,69.82.72.200,295,2
11,10.32.223.21,3,16
11,10.32.223.22,1,7
12,10.32.193.1,2,16
12,10.32.252.194,2,16
12,10.96.193.17,284,1
12,10.96.252.193,2,16
13,10.32.252.202,1,16
14,10.30.66.23,2,10
15,10.30.223.1,103,4
15,10.30.223.5,1,10
15,10.30.251.2,1,10
16,10.10.147.226,244,3
16,32.5.150.165,1,7
16,32.5.150.166,1,7
17,10.252.2.33,38,0
18,10.30.66.20,2,10
19,10.32.252.38,1,16
20,10.252.2.21,36,0
21,10.96.252.33,1,16
22,10.30.66.24,2,10
22,10.96.252.37,1,16
23,10.32.252.46,1,16
24,10.30.223.241,2,5
24,10.30.99.78,1,10
24,166.185.104.12,103,5
25,10.218.251.129,1,7
25,10.250.253.161,1,7
25,10.250.253.162,1,7
25,148.73.5.67,1,7
25,148.78.129.5,43,6
26,166.185.104.3,1,5
27,147.225.209.125,1,10
28,166.185.104.2,1,5
29,10.230.82.22,11,9
29,10.30.199.3,1,10
29,10.30.251.21,1,10
30,10.252.2.59,14,0
31,10.224.0.34,3,9
32,10.10.191.180,23,9
32,10.224.0.6,1,9
32,10.224.0.82,1,9
33,10.10.144.253,1,10
33,10.10.144.94,1,10
33,10.10.148.2,2,12
33,10.140.0.25,18,10
33,10.140.0.26,1,10
33,10.30.99.94,1,10
34,10.10.184.36,17,12
34,32.243.159.25,1,7
34,32.243.159.26,1,12
35,10.10.180.4,16,15
35,10.252.4.58,16,0
35,10.252.4.82,1,0
36,10.10.176.68,15,14
36,10.252.3.66,1,0
37,10.10.144.137,1,4
37,10.10.144.138,1,18
37,10.10.144.142,1,18
37,10.10.176.100,12,17
37,10.10.176.196,12,21
37,10.10.176.52,12,18
37,10.10.178.164,12,22
37,10.252.4.106,1,0
37,10.252.4.130,1,0
37,10.252.4.146,1,0
38,10.10.145.114,1,4
38,10.10.145.118,1,26
38,10.10.147.194,1,4
38,10.10.147.198,10,24
38,10.10.147.249,2,4
38,10.10.177.4,10,27
38,10.10.184.52,10,26
38,10.252.2.38,10,0
38,10.252.3.122,1,0
39,10.10.147.102,1,19
39,10.10.147.97,1,4
39,10.10.147.98,1,19
39,10.10.176.132,9,0
39,10.10.178.36,9,23
39,10.10.184.164,9,25
39,10.10.184.4,9,19
39,10.252.3.18,1,0
39,10.252.3.34,1,0
39,10.252.5.58,9,0
40,10.10.177.84,8,0
40,10.10.178.52,8,0
40,10.10.180.68,8,28
40,10.252.3.114,1,0
40,10.252.3.74,1,0
40,10.252.3.82,1,0
40,10.30.223.18,2,3
40,10.32.193.18,8,16
