Rank,Type,Name,Revenue (USD)
1,Government,United States,"3,251,000,000,000.00"
2,Government,China,"2,426,000,000,000.00"
3,Government,Germany,"1,515,000,000,000.00"
4,Government,Japan,"1,439,000,000,000.00"
5,Government,France,"1,253,000,000,000.00"
6,Government,United Kingdom,"1,101,000,000,000.00"
7,Government,Italy,"876,000,000,000.00"
8,Government,Brazil,"631,000,000,000.00"
9,Government,Canada,"585,000,000,000.00"
10,Corporation,Walmart,"482,130,000,000.00"
11,Government,Spain,"473,600,000,000.00"
12,Government,Australia,"425,700,000,000.00"
13,Government,Netherlands,"336,500,000,000.00"
14,Corporation,State Grid,"329,601,000,000.00"
15,Corporation,China National Petroleum,"299,271,000,000.00"
16,Corporation,Sinopec Group,"294,344,000,000.00"
17,Government,"Korea, South","291,300,000,000.00"
18,Corporation,Royal Dutch Shell,"272,156,000,000.00"
19,Government,Mexico,"259,600,000,000.00"
20,Government,Sweden,"250,800,000,000.00"
21,Corporation,Exxon Mobil,"246,204,000,000.00"
22,Corporation,Volkswagen,"236,600,000,000.00"
23,Corporation,Toyota Motor,"236,592,000,000.00"
24,Government,India,"236,000,000,000.00"
25,Corporation,Apple,"233,715,000,000.00"
26,Government,Belgium,"226,800,000,000.00"
27,Corporation,BP,"225,982,000,000.00"
28,Government,Switzerland,"221,900,000,000.00"
29,Government,Norway,"220,200,000,000.00"
30,Government,Russia,"216,300,000,000.00"
31,Corporation,Berkshire Hathaway,"210,821,000,000.00"
32,Government,Venezuela,"203,400,000,000.00"
33,Government,Saudi Arabia,"193,000,000,000.00"
34,Corporation,McKesson,"192,487,000,000.00"
35,Government,Austria,"189,200,000,000.00"
36,Corporation,Samsung Electronics,"177,440,000,000.00"
37,Government,Turkey,"175,400,000,000.00"
38,Corporation,Glencore,"170,497,000,000.00"
39,Corporation,Industrial & Commercial Bank of China,"167,227,000,000.00"
40,Corporation,Daimler,"165,800,000,000.00"
41,Government,Denmark,"161,700,000,000.00"
42,Corporation,UnitedHealth Group,"157,107,000,000.00"
43,Corporation,CVS Health,"153,290,000,000.00"
44,Corporation,EXOR Group,"152,591,000,000.00"
45,Corporation,General Motors,"152,356,000,000.00"
46,Corporation,Ford Motor,"149,558,000,000.00"
47,Corporation,China Construction Bank,"147,910,000,000.00"
48,Corporation,AT&T,"146,801,000,000.00"
49,Corporation,Total ,"143,421,000,000.00"
50,Government,Argentina,"143,400,000,000.00"
51,Corporation,Hon Hai Precision Industry,"141,213,000,000.00"
52,Corporation,General Electric,"140,389,000,000.00"
53,Corporation,China State Construction Engineering,"140,159,000,000.00"
54,Corporation,AmerisourceBergen,"135,962,000,000.00"
55,Corporation,Agricultural Bank of China,"133,419,000,000.00"
56,Corporation,Verizon,"131,620,000,000.00"
57,Government,Finland,"131,400,000,000.00"
58,Corporation,Chevron,"131,118,000,000.00"
59,Corporation,E.ON,"129,277,000,000.00"
60,Corporation,AXA,"129,250,000,000.00"
61,Government,Indonesia,"123,300,000,000.00"
62,Corporation,Allianz,"122,948,000,000.00"
63,Corporation,Bank of China,"122,337,000,000.00"
64,Corporation,Honda Motor,"121,624,000,000.00"
65,Corporation,Japan Post Holdings,"118,762,000,000.00"
66,Corporation,Costco,"116,199,000,000.00"
67,Corporation,BNP Paribas,"111,531,000,000.00"
68,Corporation,Fannie Mae,"110,359,000,000.00"
69,Corporation,Ping An Insurance,"110,308,000,000.00"
70,Government,United Arab Emirates,"110,100,000,000.00"
71,Corporation,Kroger,"109,830,000,000.00"
72,Corporation,Société Générale,"107,736,000,000.00"
73,Corporation,Amazon.com,"107,006,000,000.00"
74,Corporation,China Mobile Communications,"106,761,000,000.00"
75,Corporation,SAIC Motor,"106,684,000,000.00"
76,Corporation,Walgreens Boots Alliance,"103,444,000,000.00"
77,Corporation,HP,"103,355,000,000.00"
78,Corporation,Assicurazioni Generali,"102,567,000,000.00"
79,Corporation,Cardinal Health,"102,531,000,000.00"
80,Corporation,BMW,"102,248,000,000.00"
81,Corporation,Express Scripts Holding,"101,752,000,000.00"
82,Corporation,Nissan Motor,"101,536,000,000.00"
83,Corporation,China Life Insurance,"101,274,000,000.00"
84,Corporation,J.P. Morgan Chase,"101,006,000,000.00"
85,Corporation,Gazprom,"99,464,000,000.00"
86,Corporation,China Railway Engineering,"99,435,000,000.00"
87,Corporation,Petrobras,"97,314,000,000.00"
88,Corporation,Trafigura Group,"97,237,000,000.00"
89,Corporation,Nippon Telegraph & Telephone,"96,134,000,000.00"
90,Corporation,Boeing,"96,114,000,000.00"
91,Corporation,China Railway Construction,"95,652,000,000.00"
92,Corporation,Microsoft,"93,580,000,000.00"
93,Corporation,Bank of America Corp.,"93,056,000,000.00"
94,Corporation,ENI,"92,985,000,000.00"
95,Corporation,Nestlé,"92,285,000,000.00"
96,Corporation,Wells Fargo,"90,033,000,000.00"
97,Government,Portugal,"89,940,000,000.00"
98,Corporation,HSBC Holdings,"89,061,000,000.00"
99,Corporation ,Home Depot ,"88,519,000,000.00"
100,Corporation,Citigroup,"88,275,000,000.00"
101,Corporation,Siemens,"87,660,000,000.00"
102,Corporation,Tesco,"87,633,000,000.00"
103,Corporation,Carrefour,"87,474,000,000.00"
104,Corporation,Phillips,"87,169,000,000.00"
105,Corporation,Banco Santander,"84,885,000,000.00"
106,Corporation,Lukoil,"84,677,000,000.00"
107,Government,South Africa,"84,150,000,000.00"
108,Corporation,Crédit Agricole,"84,099,000,000.00"
109,Corporation,Enel,"83,926,000,000.00"
110,Corporation,Hitachi,"83,584,000,000.00"
111,Corporation,Électricité de France,"83,202,000,000.00"
112,Corporation,Dongfeng Motor Group,"82,817,000,000.00"
113,Corporation,IBM,"82,461,000,000.00"
114,Corporation,Valero Energy,"81,824,000,000.00"
115,Government,Poland,"81,580,000,000.00"
