lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-7907536.42465565,-4124934.97350727,node/5614437032,node/5614437032,Chimbarongo,Alonso de Ercilla,park,evergreen,broadleaved,tree,,,,,,,
-7907511.68946479,-4124891.02896698,node/5614437033,node/5614437033,Chimbarongo,Alonso de Ercilla,street,evergreen,broadleaved,tree,Schinus,Schinus molle,Molle,,,,
-7906753.50354495,-4124198.01454133,node/6143907729,node/6143907729,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906757.18822009,-4124181.68366487,node/6143907730,node/6143907730,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906766.50566147,-4124175.52235364,node/6143907731,node/6143907731,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906772.12729576,-4124186.24709976,node/6143907732,node/6143907732,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906780.38720198,-4124179.7472524,node/6143907733,node/6143907733,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906788.93653887,-4124175.30569221,node/6143907734,node/6143907734,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906796.37268085,-4124171.66307251,node/6143907735,node/6143907735,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906803.27448928,-4124167.85795804,node/6143907736,node/6143907736,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906781.96793874,-4124167.50588345,node/6143907737,node/6143907737,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906801.33753014,-4124156.84886187,node/6143907738,node/6143907738,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906813.68286167,-4124161.69665442,node/6143907740,node/6143907740,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906823.00030305,-4124156.48324631,node/6143907741,node/6143907741,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906831.59416774,-4124151.28338194,node/6143907742,node/6143907742,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906840.66670624,-4124147.16682436,node/6143907743,node/6143907743,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906809.44158907,-4124153.21978949,node/6143907744,node/6143907744,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906818.03545376,-4124147.28869611,node/6143907745,node/6143907745,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906827.24157565,-4124142.56278149,node/6143907746,node/6143907746,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906836.31411415,-4124136.38795049,node/6143907747,node/6143907747,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-7906844.54062452,-4124132.28493967,node/6143907748,node/6143907748,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
