lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-71.0346083,-34.7129107,node/5614437032,node/5614437032,Chimbarongo,Alonso de Ercilla,park,evergreen,broadleaved,tree,,,,,,,
-71.0343861,-34.7125862,node/5614437033,node/5614437033,Chimbarongo,Alonso de Ercilla,street,evergreen,broadleaved,tree,Schinus,Schinus molle,Molle,,,,
-71.0275752,-34.7074686,node/6143907729,node/6143907729,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0276083,-34.707348,node/6143907730,node/6143907730,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.027692,-34.7073025,node/6143907731,node/6143907731,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0277425,-34.7073817,node/6143907732,node/6143907732,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0278167,-34.7073337,node/6143907733,node/6143907733,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0278935,-34.7073009,node/6143907734,node/6143907734,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0279603,-34.707274,node/6143907735,node/6143907735,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0280223,-34.7072459,node/6143907736,node/6143907736,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0278309,-34.7072433,node/6143907737,node/6143907737,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0280049,-34.7071646,node/6143907738,node/6143907738,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0281158,-34.7072004,node/6143907740,node/6143907740,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0281995,-34.7071619,node/6143907741,node/6143907741,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0282767,-34.7071235,node/6143907742,node/6143907742,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0283582,-34.7070931,node/6143907743,node/6143907743,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0280777,-34.7071378,node/6143907744,node/6143907744,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0281549,-34.707094,node/6143907745,node/6143907745,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0282376,-34.7070591,node/6143907746,node/6143907746,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0283191,-34.7070135,node/6143907747,node/6143907747,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.028393,-34.7069832,node/6143907748,node/6143907748,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.028467,-34.7069492,node/6143907749,node/6143907749,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.029508,-34.7065333,node/6143920974,node/6143920974,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0285996,-34.7069715,node/6143920975,node/6143920975,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0286714,-34.7069367,node/6143920976,node/6143920976,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0285888,-34.7068822,node/6143920977,node/6143920977,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,,,,
-71.0294577,-34.7064577,node/6143920978,node/6143920978,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0287345,-34.7069018,node/6143920979,node/6143920979,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0288236,-34.7068589,node/6143920980,node/6143920980,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0287682,-34.7067963,node/6143920981,node/6143920981,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0289791,-34.7067946,node/6143920982,node/6143920982,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0289215,-34.7067239,node/6143920983,node/6143920983,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0290552,-34.7067534,node/6143920984,node/6143920984,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0291204,-34.706723,node/6143921085,node/6143921085,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.029202,-34.7066846,node/6143921086,node/6143921086,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0293564,-34.7066006,node/6143921087,node/6143921087,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0293183,-34.7065309,node/6143921088,node/6143921088,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0291302,-34.706631,node/6143921089,node/6143921089,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0292183,-34.7065863,node/6143921090,node/6143921090,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0288505,-34.7069286,node/6143999668,node/6143999668,Chimbarongo,El Bosque,garden,evergreen,broadleaved,tree,,,,,,,
-71.0288033,-34.7069527,node/6143999669,node/6143999669,Chimbarongo,El Bosque,garden,evergreen,broadleaved,tree,,,,,,,
-71.0289652,-34.7068982,node/6143999670,node/6143999670,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0343939,-34.7040681,node/6144038377,node/6144038377,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia,,,,
-71.0345425,-34.7040182,node/6144038378,node/6144038378,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0344453,-34.7041525,node/6144038380,node/6144038380,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Acacia,Acacia melanoxylon,Acacia Negra,,,,
-71.034321,-34.7041137,node/6144038381,node/6144038381,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0343791,-34.7041914,node/6144038382,node/6144038382,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0342508,-34.7041581,node/6144038383,node/6144038383,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0343156,-34.7042269,node/6144038384,node/6144038384,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0342495,-34.704258,node/6144043785,node/6144043785,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0342265,-34.7041669,node/6144043786,node/6144043786,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,,,,,,,
-71.0341765,-34.7041891,node/6144043787,node/6144043787,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,Küllay,,,
-71.0288034,-34.7067305,node/6144053882,node/6144053882,Chimbarongo,El Bosque,garden,evergreen,broadleaved,tree,,,,,,,
-71.028791,-34.7065833,node/6144053883,node/6144053883,Chimbarongo,El Bosque,garden,,,tree,,,,,,,
-71.0285162,-34.7070104,node/6144053884,node/6144053884,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0284506,-34.7070531,node/6144057685,node/6144057685,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0286598,-34.7068407,node/6144057686,node/6144057686,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,,,,
-71.0284643,-34.7068362,node/6144057687,node/6144057687,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
