lng,lat
-71.0346083,-34.7129107
-71.0343861,-34.7125862
-71.0275752,-34.7074686
-71.0276083,-34.707348
-71.027692,-34.7073025
-71.0277425,-34.7073817
-71.0278167,-34.7073337
-71.0278935,-34.7073009
-71.0279603,-34.707274
-71.0280223,-34.7072459
-71.0278309,-34.7072433
-71.0280049,-34.7071646
-71.0281158,-34.7072004
-71.0281995,-34.7071619
-71.0282767,-34.7071235
-71.0283582,-34.7070931
-71.0280777,-34.7071378
-71.0281549,-34.707094
-71.0282376,-34.7070591
-71.0283191,-34.7070135
-71.028393,-34.7069832
-71.028467,-34.7069492
-71.029508,-34.7065333
-71.0285996,-34.7069715
-71.0286714,-34.7069367
-71.0285888,-34.7068822
-71.0294577,-34.7064577
-71.0287345,-34.7069018
-71.0288236,-34.7068589
-71.0287682,-34.7067963
-71.0289791,-34.7067946
-71.0289215,-34.7067239
-71.0290552,-34.7067534
-71.0291204,-34.706723
-71.029202,-34.7066846
-71.0293564,-34.7066006
-71.0293183,-34.7065309
-71.0291302,-34.706631
-71.0292183,-34.7065863
-71.0288505,-34.7069286
-71.0288033,-34.7069527
-71.0289652,-34.7068982
-71.0343939,-34.7040681
-71.0345425,-34.7040182
-71.0344453,-34.7041525
-71.034321,-34.7041137
-71.0343791,-34.7041914
-71.0342508,-34.7041581
-71.0343156,-34.7042269
-71.0342495,-34.704258
-71.0342265,-34.7041669
-71.0341765,-34.7041891
-71.0288034,-34.7067305
-71.028791,-34.7065833
-71.0285162,-34.7070104
-71.0284506,-34.7070531
-71.0286598,-34.7068407
-71.0284643,-34.7068362
-71.0284342,-34.7067924
-71.0341131,-34.7042125
-71.0341711,-34.7042846
-71.0340631,-34.7042424
-71.0341117,-34.704319
-71.0340766,-34.7043401
-71.0340388,-34.7043634
-71.0340023,-34.704379
-71.0339242,-34.7043142
-71.0337978,-34.7043612
-71.0338838,-34.7044585
-71.0338465,-34.7044756
-71.0338022,-34.7044955
-71.0337261,-34.7045253
-71.0336714,-34.7044423
-71.0336548,-34.7045572
-71.0336032,-34.704475
-71.033524,-34.7045166
-71.0335661,-34.7046023
-71.0335158,-34.704622
-71.0334578,-34.7045535
-71.0333901,-34.7045845
-71.0334545,-34.7046534
-71.0333696,-34.7046922
-71.0333494,-34.7047076
-71.0333191,-34.7047255
-71.0332377,-34.7047642
-71.0333321,-34.7047158
-71.0333155,-34.7046233
-71.0332424,-34.7046622
-71.0331623,-34.7046973
-71.0330915,-34.7047363
-71.0331424,-34.7047084
-71.0331196,-34.7047204
-71.0328497,-34.7058661
-71.0328724,-34.7058927
-71.0328893,-34.7059259
-71.0331568,-34.7048016
-71.0330866,-34.704834
-71.0330385,-34.7047459
-71.0330114,-34.7047707
-71.0329145,-34.7048157
-71.0329999,-34.7048636
-71.0329245,-34.7048998
-71.032855,-34.7049333
-71.0327519,-34.7048982
-71.0324793,-34.7051256
-71.0324022,-34.7051554
-71.032463,-34.7051679
-71.0321392,-34.7051871
-71.0322747,-34.7051122
-71.0323133,-34.7050997
-71.0323391,-34.705092
-71.0323881,-34.705067
-71.0324567,-34.705039
-71.0325289,-34.7050091
-71.0324272,-34.7050473
-71.032646,-34.7050346
-71.0326825,-34.7050211
-71.0328001,-34.7050158
-71.0326825,-34.7049266
-71.0322433,-34.7052167
-71.0321765,-34.7052533
-71.0320966,-34.7052961
-71.0320216,-34.7053295
-71.0319474,-34.7053738
-71.0322312,-34.7052762
-71.0321817,-34.7052975
-71.0321456,-34.7053195
-71.0320031,-34.7053806
-71.0320351,-34.7053917
-71.0320588,-34.7052228
-71.0320392,-34.7052347
-71.0320207,-34.7052449
-71032,-34.7052533
-71.0318343,-34.7053312
-71.0316821,-34.7054129
-71.0317471,-34.7054842
-71.0316759,-34.7055198
-71.0316046,-34.7055554
-71.031521,-34.7055928
-71.0314436,-34.7056242
-71.0313605,-34.7056567
-71.0311314,-34.705666
-71.031536,-34.7054779
-71.0314606,-34.7055161
-71.031377,-34.70555
-71.0314431,-34.7055254
-71.0312079,-34.7056246
-71.0312417,-34.7056061
-71.0312745,-34.7055922
-71.031297,-34.7055763
-71.0311752,-34.7056434
-71.0312518,-34.7057104
-71.031298,-34.7056918
-71.0313451,-34.7056678
-71.0313178,-34.7056841
-71.0312697,-34.7057019
-71.0311982,-34.7057375
-71.0311077,-34.7057731
-71.0310372,-34.7058076
-71.0305001,-34.7059751
-71.0306473,-34.7058904
-71.0307304,-34.7058579
-71.0308239,-34.7058138
-71.03089,-34.7057843
-71.0309679,-34.7057444
-71.0328833,-34.705803
-71.0325273,-34.7053436
-71.0324797,-34.7055729
-71.032614,-34.7054704
-71.0325913,-34.7054348
-71.0321217,-34.7051791
-71.0320501,-34.7052241
-71.0320127,-34.7051755
-71.0318471,-34.7053218
-71.0318871,-34.7053034
-71.0317516,-34.7053698
-71.0319269,-34.7052829
-71.0319597,-34.705263
-71.0319431,-34.705271
-71.0297757,-34.7063094
-71.0297286,-34.7064212
-71.0296606,-34.7064548
-71.0295843,-34.706496
-71.0295398,-34.7064247
-71.0296894,-34.7063455
-71.0295329,-34.7061751
-71.0302571,-34.7061742
-71.0301766,-34.7062104
-71.0301193,-34.7062412
-71.0300531,-34.7062721
-71.0299804,-34.7063092
-71.0299043,-34.7063446
-71.030181,-34.7061162
-71.0300884,-34.7061561
-71.0300124,-34.706195
-71.0298613,-34.7062716
-71.0299407,-34.7062381
-71.0298666,-34.7062058
-71.0298626,-34.7062194
-71.0301766,-34.7063441
-71.0304296,-34.7059962
-71.0303373,-34.7060452
-71.0302612,-34.7060794
-71.0304079,-34.7061062
-71.0305719,-34.7060251
-71.0305167,-34.7060519
-71.0304587,-34.7060809
-71.0306937,-34.7059696
-71.0307228,-34.7059553
-71.0309841,-34.7058296
-71.0308893,-34.7059443
-71.0308308,-34.7059721
-71.0307856,-34.7059915
-71.0308575,-34.7059426
-71.0308523,-34.7058911
-71.030762,-34.7059333
-71.0307888,-34.705919
-71.0308188,-34.7059041
-71.0375087,-34.7132966
-71.0346074,-34.7041192
-71.0346405,-34.7040964
-71.0345701,-34.7042046
-71.0344261,-34.7042286
-71.0332802,-34.7045737
-71.0328253,-34.7048471
-71.032823,-34.7048036
-71.0408867,-34.7093225
-71.0407515,-34.7093932
-71.0406199,-34.7092604
-71.0391496,-34.7081238
-71.0395597,-34.7086711
-71.0394876,-34.7085962
-71.0394122,-34.7084992
-71.0401023,-34.70932
-71.0401628,-34.7094033
-71.0402692,-34.7093719
-71.0405334,-34.7093036
-71.0404896,-34.7093249
-71.0404401,-34.7093497
-71.0403765,-34.7093834
-71.0403872,-34.7093444
-71.0403293,-34.7093732
-71.0407552,-34.709337
-71.0405268,-34.7092559
-71.04103,-34.7090536
-71.0407247,-34.7092071
-71.0407637,-34.7091867
-71.0409258,-34.709101
-71.0409181,-34.7090633
-71.0409288,-34.7090179
-71.0408706,-34.7090886
-71.0408253,-34.7091113
-71.0407221,-34.7091732
-71.0408273,-34.7091524
-71.0408761,-34.7091243
-71.0406085,-34.7092269
-71.0405864,-34.7091987
-71.0405481,-34.7091618
-71.0405081,-34.7091129
-71.0401367,-34.709255
-71.0400788,-34.7092067
-71.0400499,-34.7091614
-71.0397319,-34.7087847
-71.0397541,-34.7087612
-71.0397868,-34.708759
-71.0398171,-34.708744
-71.0398513,-34.7087283
-71.0396765,-34.7086253
-71.0397251,-34.7086
-71.0396989,-34.708613
-71.0398926,-34.7087722
-71.0400726,-34.7087147
-71.040245,-34.7088679
-71.0398624,-34.7088152
-71.0402137,-34.7085536
-71.0402717,-34.708648
-71.0402951,-34.7085701
-71.0402784,-34.7088835
-71.0402561,-34.7085289
-71.0405078,-34.7083944
-71.0404632,-34.7084165
-71.0404287,-34.7084354
-71.0403821,-34.7087873
-71.0403941,-34.708455
-71.0404429,-34.7084829
-71.0405059,-34.7085663
-71.0406618,-34.708439
-71.0406859,-34.7084778
-71.0399051,-34.7085148
-71.0399878,-34.7085123
-71.0400882,-34.7084638
-71.0402438,-34.7083788
-71.0400833,-34.7084257
-71.0399553,-34.7091744
-71.0399861,-34.709211
-71.0400196,-34.7092593
-71.0399974,-34.7091785
-71.0400126,-34.7090509
-71.040201,-34.7090965
-71.0399666,-34.7089665
-71.0399386,-34.7090107
-71.0399932,-34.7089951
-71.0397391,-34.7089193
-71.0397766,-34.7089616
-71.0398091,-34.7090042
-71.0398634,-34.7090683
-71.0398559,-34.7090131
-71.0397987,-34.7088822
-71.0400301,-34.7088261
-71.0400796,-34.7089246
-71.0413276,-34.7089321
-71.0409699,-34.7088695
-71.0406954,-34.7085877
-71.040564,-34.7083905
-71.0409054,-34.7084135
-71.0408636,-34.7083569
-71.0408045,-34.708281
