lat	lng	time
40.7	-74.0	0
51.3	0.5	23
52.2	0.1	208
45.9	-119.7	309
35.7	139.7	344
45.9	-119.7	954
48.5	34.6	1001
43.6	-79.4	1003
46.6	20.7	1004
24.1	120.7	1005
34.0	-118.4	1006
55.7	37.6	1006
35.6	139.8	1006
23.5	121.0	1007
32.1	118.8	1007
57.8	40.9	1007
55.7	37.6	1007
50.4	30.5	1009
55.7	37.6	1009
43.6	-79.7	1010
21.1	-86.9	1010
25.8	-80.4	1010
22.8	108.3	1010
32.8	-79.9	1010
23.5	121.0	1010
39.1	-94.6	1011
57.8	40.9	1011
23.5	121.0	1011
23.5	121.0	1011
23.0	120.2	1011
23.5	121.0	1012
56.0	24.0	1012
17.4	78.5	1012
50.6	36.6	1012
34.7	113.5	1012
23.5	121.0	1012
50.7	3.2	1013
48.9	2.3	1013
51.7	55.4	1013
55.8	37.6	1013
17.4	78.5	1014
30.7	104.1	1015
23.5	121.0	1015
48.7	2.3	1015
57.0	24.1	1015
23.5	121.0	1015
51.7	6.2	1015
23.5	121.0	1016
30.7	104.1	1016
41.9	-87.7	1016
34.3	108.9	1016
25.0	121.5	1017
50.3	127.5	1017
50.6	36.6	1017
55.1	36.6	1017
40.2	44.5	1017
57.8	40.9	1017
55.7	37.6	1017
34.0	-118.4	1017
41.0	29.0	1018
23.5	121.0	1018
55.7	37.6	1018
50.6	36.6	1019
-43.0	147.3	1019
25.3	55.3	1019
23.5	121.0	1020
50.4	30.5	1020
50.6	36.6	1020
25.1	121.7	1020
39.9	115.3	1020
56.9	35.9	1020
22.6	120.4	1021
24.1	120.7	1021
25.0	121.3	1021
48.5	35.0	1021
49.8	30.1	1022
23.0	120.2	1022
55.8	37.6	1022
34.8	113.7	1022
21.0	105.9	1022
1.0	32.0	1022
47.2	27.6	1022
53.5	49.3	1022
30.3	-97.7	1022
23.0	120.2	1023
55.7	37.6	1023
23.5	121.0	1023
50.4	30.5	1024
55.8	37.6	1024
50.6	36.6	1024
23.0	120.2	1024
56.3	114.9	1024
48.0	37.8	1024
38.0	23.7	1024
16.3	-61.6	1025
43.7	-79.5	1025
37.5	127.0	1025
51.2	58.3	1025
51.8	55.1	1025
50.6	36.6	1025
34.1	-118.3	1025
57.8	40.9	1025
25.0	121.5	1025
23.5	121.0	1025
23.1	113.3	1026
23.5	121.0	1026
45.9	-119.7	1026
55.7	37.6	1026
48.9	2.3	1026
37.5	127.0	1026
53.1	36.2	1026
24.8	121.0	1027
55.2	61.4	1027
51.8	55.1	1028
51.7	55.4	1028
53.7	91.4	1028
48.9	2.3	1028
55.7	37.6	1028
45.0	41.1	1028
34.7	113.5	1028
-22.8	-43.2	1028
33.4	112.4	1029
50.4	30.5	1029
51.3	9.5	1029
39.1	117.2	1029
51.7	55.4	1030
50.6	36.6	1030
51.7	55.4	1030
54.2	37.6	1030
23.5	121.0	1030
40.5	-74.2	1030
23.5	121.0	1030
34.7	113.5	1030
30.3	120.2	1030
51.2	58.3	1031
23.5	121.0	1031
28.6	77.2	1031
36.8	127.0	1032
34.8	113.7	1032
37.8	128.9	1032
53.0	36.1	1032
26.1	119.3	1032
55.7	37.6	1032
23.5	121.0	1032
24.9	118.6	1032
51.2	58.3	1033
51.7	55.4	1033
23.0	120.2	1033
34.8	113.7	1033
47.4	40.1	1033
55.8	37.6	1033
42.7	23.3	1034
51.7	55.4	1034
37.8	-97.8	1034
25.3	55.3	1034
35.0	138.4	1034
51.7	39.2	1034
37.5	127.0	1034
53.0	36.1	1034
50.6	36.6	1035
50.5	30.5	1035
34.8	113.7	1035
37.8	-97.8	1035
41.8	123.4	1035
25.0	121.5	1035
55.7	37.6	1035
24.1	120.5	1036
53.5	49.6	1036
23.5	121.0	1036
51.2	58.3	1036
51.7	55.4	1036
29.5	-98.4	1036
45.9	-119.7	1036
-33.9	151.1	1036
26.6	106.7	1036
23.5	121.0	1036
33.1	-96.8	1036
30.3	120.2	1037
37.5	127.0	1037
55.0	82.9	1037
51.2	58.3	1037
51.7	55.4	1037
41.3	-104.7	1037
30.3	120.2	1037
26.1	119.3	1038
51.7	55.4	1038
34.7	113.5	1038
54.6	39.7	1038
24.1	120.7	1039
37.7	112.5	1039
34.8	113.7	1039
25.0	121.5	1039
31.0	121.4	1039
23.5	121.0	1040
50.6	36.6	1040
50.4	30.5	1040
31.9	117.3	1040
55.7	37.6	1040
42.7	23.3	1040
53.0	36.1	1040
50.4	30.5	1040
51.7	55.4	1041
25.0	121.5	1041
51.2	38.5	1041
31.5	34.8	1041
53.8	87.1	1041
54.2	37.6	1041
23.5	121.0	1041
46.8	29.5	1042
50.6	36.6	1042
51.8	55.1	1042
22.8	108.3	1042
51.3	37.8	1042
23.0	120.2	1042
20.0	77.0	1042
-23.4	-46.9	1042
45.0	39.0	1042
34.7	113.5	1042
23.5	121.0	1042
55.5	38.4	1042
35.7	51.4	1042
48.9	2.3	1043
58.1	52.7	1043
25.0	121.5	1043
25.0	121.5	1043
50.1	14.5	1043
1.3	103.9	1043
26.6	106.7	1043
51.5	-0.1	1043
23.5	121.0	1044
51.4	57.6	1044
51.2	58.3	1044
55.2	61.4	1044
53.1	36.2	1044
43.9	125.3	1044
51.8	55.1	1045
30.7	104.1	1045
52.8	52.3	1045
22.8	108.3	1045
55.8	37.6	1045
22.6	120.4	1045
36.7	117.0	1045
23.1	113.3	1045
53.0	36.1	1045
55.3	38.7	1045
53.1	36.2	1046
35.3	139.4	1046
50.6	36.6	1046
51.7	55.4	1046
23.5	121.0	1046
52.8	52.3	1046
23.5	121.0	1046
23.5	121.0	1046
36.7	117.0	1046
36.7	117.0	1046
41.0	64.0	1046
26.6	106.7	1046
-33.5	143.2	1047
40.9	29.2	1047
49.8	73.1	1047
34.7	113.5	1047
55.8	37.6	1047
13.8	100.5	1047
23.5	121.0	1048
44.7	37.8	1048
51.9	33.5	1048
51.3	37.8	1048
45.5	-73.6	1048
53.1	36.2	1048
28.6	115.9	1049
51.7	55.4	1049
52.8	52.3	1049
55.0	73.4	1049
56.9	60.6	1049
13.8	100.5	1049
16.2	120.8	1049
11.0	77.0	1049
-22.9	-43.2	1049
51.2	58.3	1050
-34.6	-58.4	1050
28.6	77.2	1050
59.3	18.1	1050
25.0	121.5	1050
55.0	73.4	1051
34.7	113.5	1051
51.7	55.4	1051
56.4	44.1	1051
47.5	19.1	1051
56.2	47.3	1051
-26.1	28.2	1051
13.8	100.5	1051
50.4	30.5	1052
50.4	30.5	1052
37.8	-97.8	1052
35.7	139.7	1052
55.7	37.6	1052
33.0	-96.5	1052
50.4	80.3	1052
39.9	116.4	1052
51.7	55.4	1053
52.8	52.3	1053
51.5	-0.1	1053
55.7	37.6	1053
34.8	113.7	1053
51.8	55.1	1053
39.1	-94.6	1053
34.1	-118.3	1053
35.6	139.8	1053
51.9	36.3	1053
55.8	37.6	1053
39.9	116.4	1053
56.9	35.9	1053
19.4	-99.1	1053
54.8	56.0	1053
51.7	36.2	1053
45.3	-73.9	1053
45.5	-73.6	1053
55.0	73.4	1054
-25.7	28.2	1054
23.5	121.0	1054
48.5	35.0	1054
51.7	36.2	1054
51.5	-0.1	1054
45.5	-73.6	1054
37.5	127.0	1054
34.8	113.7	1055
51.2	58.3	1055
62.0	129.7	1055
34.0	74.9	1055
23.1	113.3	1055
44.0	43.1	1055
37.5	127.0	1055
51.3	9.5	1055
37.8	128.9	1055
38.7	-90.3	1055
-22.8	-43.2	1055
43.9	125.3	1055
24.1	120.7	1055
34.4	132.5	1056
51.2	58.3	1056
53.7	91.4	1056
45.8	126.7	1056
52.8	52.3	1056
16.2	120.8	1056
30.3	120.2	1056
37.5	127.0	1056
50.4	30.5	1057
30.0	70.0	1057
55.7	37.6	1057
41.8	-87.7	1057
51.7	55.4	1058
55.0	73.4	1058
51.8	55.1	1058
50.4	30.5	1058
56.4	37.5	1058
34.7	135.5	1058
25.0	121.5	1058
45.5	-73.6	1058
51.5	31.3	1058
47.4	25.8	1059
17.4	78.5	1059
13.8	100.5	1059
25.0	121.5	1059
36.7	117.0	1059
15.9	-96.3	1059
17.4	78.5	1059
45.5	-73.6	1059
50.4	30.5	1060
51.7	55.4	1060
51.3	58.2	1060
52.6	39.6	1060
57.8	40.9	1060
-22.9	-43.2	1060
39.1	114.9	1060
56.9	60.6	1060
50.4	30.5	1060
51.3	37.8	1060
45.3	-73.9	1060
55.1	73.1	1061
51.7	55.4	1061
55.9	37.7	1061
37.8	-97.8	1061
37.5	121.4	1061
52.5	-1.9	1061
55.7	37.6	1061
22.3	114.2	1061
22.6	120.3	1061
55.0	50.1	1062
30.3	120.2	1062
56.0	92.9	1062
50.4	30.5	1062
25.0	121.3	1062
37.8	-97.8	1062
23.1	113.3	1062
55.7	37.6	1062
55.7	37.6	1062
23.0	120.2	1063
53.0	36.1	1063
34.7	113.5	1063
32.1	118.8	1063
50.0	36.3	1063
55.7	37.6	1063
47.5	42.2	1063
55.7	37.6	1063
56.2	47.3	1064
52.8	52.3	1064
55.7	84.9	1064
51.7	39.2	1064
55.2	61.4	1065
51.7	55.4	1065
24.1	120.7	1065
51.2	38.5	1065
43.1	12.1	1066
-22.8	-43.4	1066
46.0	25.0	1066
38.3	141.0	1066
30.7	104.1	1066
38.7	-9.1	1066
25.0	121.5	1066
51.5	-0.2	1066
51.7	39.2	1066
48.0	37.8	1067
34.8	113.7	1067
55.0	73.4	1067
24.8	121.0	1067
50.0	36.3	1067
52.2	21.0	1068
30.7	104.1	1068
51.7	36.2	1068
23.5	121.0	1068
47.9	35.3	1068
26.6	106.7	1068
51.7	55.4	1069
25.0	121.5	1069
55.8	37.6	1069
55.7	37.6	1069
51.2	58.3	1070
23.1	113.3	1070
24.1	120.7	1070
23.5	121.0	1070
56.9	35.9	1070
36.7	117.0	1070
22.5	114.1	1070
32.1	118.8	1070
23.5	121.0	1070
49.8	6.2	1070
23.5	121.0	1071
40.6	122.5	1071
55.0	73.4	1071
17.4	78.5	1071
32.1	34.8	1071
50.6	36.6	1071
51.7	39.2	1071
23.5	121.0	1071
51.7	55.4	1072
51.7	39.2	1072
48.0	68.0	1072
52.2	21.0	1072
53.0	36.1	1072
23.1	113.3	1072
51.7	36.2	1072
22.3	114.2	1072
53.0	36.1	1072
39.9	116.4	1072
22.6	120.4	1072
32.1	118.8	1072
23.1	113.3	1073
53.5	49.3	1073
55.7	37.6	1073
50.5	30.5	1073
53.1	36.2	1073
-26.1	28.1	1073
57.8	40.9	1073
34.8	113.7	1073
51.5	46.0	1073
52.4	4.9	1073
23.5	121.0	1073
23.5	121.0	1073
23.5	121.0	1073
43.2	-79.7	1073
23.5	121.0	1073
51.7	55.4	1074
25.0	121.5	1074
37.5	121.4	1074
48.6	45.7	1074
24.1	120.5	1074
23.5	121.0	1074
55.7	37.6	1074
37.5	127.0	1074
49.1	-122.8	1074
37.5	127.0	1074
53.2	50.1	1074
11.2	78.2	1074
45.3	-73.9	1074
23.1	113.3	1074
37.8	128.9	1074
40.5	-74.2	1075
59.9	30.3	1075
17.4	78.5	1075
50.0	36.3	1075
35.7	51.4	1075
23.5	121.0	1075
56.7	37.2	1075
36.7	117.0	1076
34.8	113.7	1076
23.5	121.0	1076
55.8	37.6	1076
24.8	121.0	1076
39.9	116.4	1076
48.9	2.3	1076
51.3	37.8	1076
50.6	36.6	1076
32.1	118.8	1076
30.7	104.1	1077
36.1	-86.9	1077
13.8	100.5	1077
55.8	37.6	1077
50.6	36.6	1077
50.0	36.3	1077
41.0	29.0	1077
53.2	-4.1	1077
23.5	121.0	1078
52.8	52.3	1078
-6.2	-38.9	1078
52.2	21.0	1078
-53.8	-67.7	1078
51.7	36.2	1078
22.8	108.3	1078
36.7	117.0	1078
23.1	113.3	1078
55.7	37.6	1079
23.5	121.0	1079
59.9	30.3	1079
13.8	100.5	1079
34.9	137.0	1079
51.8	55.1	1080
51.7	39.2	1080
23.5	121.0	1080
50.3	127.5	1080
45.5	-73.6	1080
14.6	121.1	1080
55.0	50.1	1080
55.7	37.6	1080
51.9	0.9	1080
33.0	-96.7	1080
54.0	86.7	1080
55.2	61.4	1081
22.6	120.3	1081
52.8	52.3	1081
52.8	52.3	1081
23.5	121.0	1081
55.7	37.6	1081
18.5	73.9	1081
45.5	-73.6	1081
39.9	116.4	1081
23.5	121.0	1081
37.5	127.0	1081
-17.4	-66.1	1082
51.7	55.4	1082
50.4	30.5	1082
23.5	121.0	1082
55.8	37.6	1082
45.5	-73.6	1082
54.6	39.7	1082
22.3	114.2	1082
51.2	58.3	1083
44.2	42.1	1083
-0.2	-78.5	1083
51.2	58.3	1083
51.2	58.3	1083
22.5	114.1	1083
55.0	73.4	1083
55.7	37.6	1083
25.0	121.5	1083
50.6	36.6	1083
55.2	61.4	1083
53.0	36.1	1084
52.2	21.0	1084
48.7	38.1	1084
50.4	30.5	1084
53.7	91.4	1084
48.9	2.3	1084
37.5	127.0	1084
47.2	39.7	1084
37.5	127.0	1084
45.1	7.7	1084
24.1	120.7	1084
55.7	37.6	1084
42.5	14.2	1084
32.1	118.8	1084
52.2	21.0	1084
23.5	121.0	1085
51.3	58.2	1085
57.8	40.9	1085
17.4	78.5	1085
31.0	121.4	1085
23.1	113.3	1085
23.1	113.3	1085
51.7	39.2	1085
55.7	37.6	1085
53.1	49.9	1085
52.2	21.0	1086
51.7	55.4	1086
13.8	100.5	1086
57.8	40.9	1086
56.9	60.6	1086
14.4	121.3	1086
45.5	-73.6	1086
53.7	52.4	1087
51.8	55.1	1087
51.5	-0.1	1087
51.2	58.6	1087
53.1	36.2	1087
50.6	36.6	1087
45.5	-73.6	1087
55.0	36.5	1088
51.2	58.3	1088
47.1	37.5	1088
28.2	113.1	1088
50.6	26.2	1088
34.3	108.9	1088
36.7	117.0	1088
55.0	60.1	1088
52.0	47.8	1088
23.5	121.0	1088
52.2	21.0	1088
37.5	127.0	1088
39.9	116.4	1088
55.7	37.6	1088
51.5	-0.1	1088
47.5	19.1	1088
23.5	121.0	1089
50.6	36.6	1089
34.8	113.7	1089
50.4	30.5	1089
55.3	38.7	1089
22.8	108.3	1089
17.4	78.5	1089
43.1	141.3	1089
52.8	52.3	1090
46.5	30.7	1090
53.5	49.3	1090
45.8	126.7	1090
23.5	121.0	1090
50.6	36.6	1090
48.0	37.8	1090
45.7	27.2	1090
35.6	139.8	1090
55.7	37.6	1090
55.7	84.9	1090
25.0	121.5	1090
50.9	4.4	1091
51.7	55.4	1091
23.5	121.0	1091
24.1	120.7	1091
23.1	113.3	1091
44.8	-93.0	1091
52.3	104.3	1092
51.7	55.4	1092
50.6	36.6	1092
52.2	21.0	1092
35.6	140.1	1092
49.8	24.0	1092
55.7	37.6	1093
26.6	106.7	1093
25.0	121.5	1093
51.7	36.2	1093
24.1	120.7	1093
56.2	47.3	1093
55.8	37.6	1093
24.1	120.5	1094
47.9	35.3	1094
30.7	104.1	1094
52.2	21.0	1094
55.8	39.0	1094
31.9	117.3	1094
16.3	80.5	1094
23.1	113.3	1094
23.5	121.0	1094
53.0	36.1	1094
53.0	36.1	1094
53.1	91.4	1095
34.8	113.7	1095
47.5	41.8	1095
53.1	36.2	1095
17.4	78.5	1095
12.2	-86.3	1095
53.5	49.3	1095
50.6	36.6	1095
48.9	2.3	1095
40.5	-74.2	1095
56.1	40.4	1095
49.6	34.5	1096
52.2	21.0	1096
51.7	55.4	1096
55.8	37.6	1096
52.2	21.0	1096
37.5	127.0	1096
30.7	104.1	1096
34.7	113.5	1096
22.8	108.3	1096
37.5	127.0	1096
24.1	120.7	1096
45.5	-73.6	1096
51.8	55.1	1097
50.4	30.5	1097
53.1	46.6	1097
48.9	2.3	1097
31.0	121.4	1097
1.3	103.9	1097
51.5	-0.1	1098
52.2	21.0	1098
36.6	101.8	1098
49.6	34.5	1098
45.5	-73.6	1098
55.0	82.9	1098
35.9	139.6	1098
52.3	104.3	1098
34.7	113.5	1098
47.2	39.7	1098
50.6	36.6	1098
40.5	-74.2	1098
48.7	44.5	1098
36.7	117.0	1098
48.3	16.3	1098
50.0	36.3	1098
39.1	117.2	1099
49.8	30.1	1099
9.9	-84.1	1099
43.4	-79.7	1099
47.4	19.1	1099
23.5	121.0	1099
49.8	30.1	1099
36.7	117.0	1099
32.1	118.8	1099
53.4	83.8	1099
51.3	37.8	1099
41.0	29.0	1099
52.2	21.0	1099
54.6	39.7	1099
23.5	121.0	1099
23.5	121.0	1099
40.6	9.0	1099
36.7	117.0	1100
51.8	55.1	1100
24.1	120.7	1100
35.7	139.7	1100
53.0	36.1	1100
57.7	12.0	1101
51.8	11.6	1101
52.8	52.3	1101
34.8	113.7	1101
23.5	121.0	1101
51.7	55.4	1101
51.7	55.4	1101
56.6	47.9	1101
47.2	39.7	1101
30.3	120.2	1101
13.8	100.5	1101
32.1	118.8	1101
30.3	120.2	1101
31.0	121.4	1101
32.1	118.8	1101
31.0	121.4	1101
51.5	-0.1	1101
23.1	113.3	1102
-23.5	-46.2	1102
23.5	121.0	1102
14.6	121.0	1102
51.8	55.1	1102
25.7	-100.4	1102
29.5	-98.4	1102
23.5	121.0	1102
51.7	55.4	1102
30.3	120.2	1102
25.0	121.5	1103
37.8	-97.8	1103
51.7	39.2	1103
55.7	37.6	1103
51.7	39.2	1103
23.5	121.0	1103
52.2	21.0	1103
53.2	50.1	1103
51.5	46.1	1103
51.5	46.1	1103
36.7	117.0	1103
22.6	120.4	1103
58.0	56.3	1104
-40.6	-73.1	1104
22.3	114.2	1104
51.7	39.2	1104
52.2	21.0	1104
54.6	39.7	1104
9.9	-84.1	1104
53.3	-3.8	1104
37.5	127.0	1104
51.7	36.2	1104
55.7	37.6	1104
25.0	121.5	1104
51.7	39.2	1104
30.3	120.2	1105
45.0	39.0	1105
48.2	16.4	1105
37.5	127.0	1105
45.8	126.7	1105
51.2	58.3	1105
34.8	113.7	1105
33.8	132.8	1105
55.7	37.6	1105
44.4	26.1	1105
32.1	118.8	1105
36.7	117.0	1105
50.6	36.6	1105
47.2	39.7	1105
43.6	39.7	1105
21.0	105.9	1105
31.0	121.4	1105
52.8	52.3	1106
51.2	58.3	1106
25.0	121.5	1106
36.7	117.0	1106
50.4	30.5	1106
24.1	120.7	1106
28.2	113.1	1106
59.3	18.1	1106
26.6	106.7	1106
22.8	108.3	1106
51.5	-0.2	1107
55.7	37.6	1107
55.7	37.6	1107
40.4	-3.7	1107
36.7	117.0	1107
44.0	43.1	1107
-18.9	-48.3	1108
39.9	116.4	1108
55.7	37.6	1108
51.7	55.4	1109
53.5	49.1	1109
37.5	127.0	1109
51.5	46.0	1109
39.9	116.4	1109
23.1	113.3	1109
23.1	113.3	1109
47.6	-122.3	1109
45.5	-73.6	1109
48.5	32.3	1110
55.7	37.6	1110
25.0	121.5	1110
51.7	55.4	1110
53.5	49.3	1110
45.5	-73.6	1110
55.7	37.6	1110
25.0	121.3	1110
34.7	113.5	1110
10.5	-66.8	1110
45.5	-73.6	1110
45.5	-73.6	1110
48.9	2.3	1111
30.7	104.1	1111
48.7	44.5	1111
56.2	47.3	1111
24.1	120.7	1111
56.6	84.8	1111
22.3	114.2	1111
45.0	39.0	1111
48.0	37.8	1111
25.0	121.5	1112
50.6	36.6	1112
34.0	-117.8	1112
56.9	35.9	1112
23.5	121.0	1112
61.3	73.4	1112
